state_name,state,year,small_pox,,count,,,
New Jersey,NJ,1911,1,,,,,
New York,NY,1911,5,,,,,
North Carolina,NC,1911,4,,,,,
Ohio,OH,1911,4,,,,,
Pennsylvania,PA,1911,5,,,,,
Rhode Island,RI,1911,0,,,,,
Utah,UT,1911,9,,,,,
Vermont,VT,1911,0,,,,,
Washington,WA,1911,3,,,,,
Wisconsin,WI,1911,2,,,,,
California,CA,1912,16,,,,,
Colorado,CO,1912,1,,,,,
Connecticut,CT,1912,0,,,,,
Indiana,IN,1912,12,,,,,
Kentucky,KY,1912,2,,,,,
Maine,ME,1912,4,,,,,
Maryland,MD,1912,1,,,,,
Massachusetts,MA,1912,2,,,,,
Michigan,MI,1912,3,,,,,
Minnesota,MN,1912,4,,,,,
Missouri,MO,1912,14,,,,,
Montana,MT,1912,2,,,,,
New Hampshire,NH,1912,2,,,,,
New Jersey,NJ,1912,2,,,,,
New York,NY,1912,5,,,,,
North Carolina,NC,1912,4,,,,,
Ohio,OH,1912,2,,,,,
Pennsylvania,PA,1912,39,,,,,
Rhode Island,RI,1912,0,,,,,
Utah,UT,1912,7,,,,,
Vermont,VT,1912,1,,,,,
Washington,WA,1912,1,,,,,
Wisconsin,WI,1912,4,,,,,
California,CA,1913,15,,,,,
Colorado,CO,1913,0,,,,,
Connecticut,CT,1913,1,,,,,
Indiana,IN,1913,12,,,,,
Kentucky,KY,1913,4,,,,,
Maine,ME,1913,2,,,,,
Maryland,MD,1913,2,,,,,
Massachusetts,MA,1913,0,,,,,
Michigan,MI,1913,4,,,,,
Minnesota,MN,1913,12,,,,,
Missouri,MO,1913,9,,,,,
Montana,MT,1913,3,,,,,
New Hampshire,NH,1913,2,,,,,
New Jersey,NJ,1913,0,,,,,
New York,NY,1913,2,,,,,
North Carolina,NC,1913,10,,,,,
Ohio,OH,1913,6,,,,,
Pennsylvania,PA,1913,12,,,,,
Rhode Island,RI,1913,0,,,,,
Utah,UT,1913,6,,,,,
Vermont,VT,1913,0,,,,,
Virginia,VA,1913,8,,,,,
Washington,WA,1913,2,,,,,
Wisconsin,WI,1913,3,,,,,
California,CA,1914,1,,,,,
Colorado,CO,1914,1,,,,,
Connecticut,CT,1914,0,,,,,
Indiana,IN,1914,8,,,,,
Kansas,KS,1914,9,,,,,
Kentucky,KY,1914,18,,,,,
Maine,ME,1914,2,,,,,
Maryland,MD,1914,8,,,,,
Massachusetts,MA,1914,1,,,,,
Michigan,MI,1914,1,,,,,
Minnesota,MN,1914,7,,,,,
Missouri,MO,1914,18,,,,,
Montana,MT,1914,5,,,,,
New Hampshire,NH,1914,0,,,,,
New Jersey,NJ,1914,1,,,,,
New York,NY,1914,3,,,,,
North Carolina,NC,1914,10,,,,,
Ohio,OH,1914,16,,,,,
Pennsylvania,PA,1914,4,,,,,
Rhode Island,RI,1914,0,,,,,
Utah,UT,1914,2,,,,,
Vermont,VT,1914,0,,,,,
Virginia,VA,1914,18,,,,,
Washington,WA,1914,3,,,,,
Wisconsin,WI,1914,5,,,,,
California,CA,1915,3,,,,,
Colorado,CO,1915,0,,,,,
Connecticut,CT,1915,0,,,,,
Indiana,IN,1915,10,,,,,
Kansas,KS,1915,10,,,,,
Kentucky,KY,1915,1,,,,,
Maine,ME,1915,0,,,,,
Maryland,MD,1915,0,,,,,
Massachusetts,MA,1915,10,,,,,
Michigan,MI,1915,5,,,,,
Minnesota,MN,1915,7,,,,,
Missouri,MO,1915,14,,,,,
Montana,MT,1915,1,,,,,
New Hampshire,NH,1915,0,,,,,
New Jersey,NJ,1915,1,,,,,
New York,NY,1915,0,,,,,
North Carolina,NC,1915,6,,,,,
Ohio,OH,1915,7,,,,,
Pennsylvania,PA,1915,0,,,,,
Rhode Island,RI,1915,0,,,,,
Utah,UT,1915,0,,,,,
Vermont,VT,1915,1,,,,,
Virginia,VA,1915,4,,,,,
Washington,WA,1915,1,,,,,
Wisconsin,WI,1915,6,,,,,
California,CA,1916,13,,,,,
Colorado,CO,1916,2,,,,,
Connecticut,CT,1916,0,,,,,
Indiana,IN,1916,1,,,,,
Kansas,KS,1916,3,,,,,
Kentucky,KY,1916,4,,,,,
Maine,ME,1916,0,,,,,
Maryland,MD,1916,0,,,,,
Massachusetts,MA,1916,0,,,,,
Michigan,MI,1916,2,,,,,
Minnesota,MN,1916,1,,,,,
Missouri,MO,1916,11,,,,,
Montana,MT,1916,2,,,,,
New Hampshire,NH,1916,1,,,,,
New Jersey,NJ,1916,0,,,,,
New York,NY,1916,3,,,,,
North Carolina,NC,1916,13,,,,,
Ohio,OH,1916,5,,,,,
Pennsylvania,PA,1916,0,,,,,
Rhode Island,RI,1916,1,,,,,
South Carolina,SC,1916,4,,,,,
Utah,UT,1916,0,,,,,
Vermont,VT,1916,1,,,,,
Virginia,VA,1916,1,,,,,
Washington,WA,1916,1,,,,,
Wisconsin,WI,1916,2,,,,,
California,CA,1917,15,,,,,
Colorado,CO,1917,1,,,,,
Connecticut,CT,1917,2,,,,,
Indiana,IN,1917,15,,,,,
Kansas,KS,1917,7,,,,,
Kentucky,KY,1917,3,,,,,
Maine,ME,1917,0,,,,,
Maryland,MD,1917,1,,,,,
Massachusetts,MA,1917,10,,,,,
Michigan,MI,1917,9,,,,,
Minnesota,MN,1917,21,,,,,
Missouri,MO,1917,31,,,,,
Montana,MT,1917,6,,,,,
New Hampshire,NH,1917,0,,,,,
New Jersey,NJ,1917,0,,,,,
New York,NY,1917,3,,,,,
North Carolina,NC,1917,13,,,,,
Ohio,OH,1917,11,,,,,
Pennsylvania,PA,1917,0,,,,,
Rhode Island,RI,1917,0,,,,,
South Carolina,SC,1917,0,,,,,
Tennessee,TN,1917,5,,,,,
Utah,UT,1917,4,,,,,
Vermont,VT,1917,0,,,,,
Virginia,VA,1917,2,,,,,
Washington,WA,1917,1,,,,,
Wisconsin,WI,1917,2,,,,,
California,CA,1918,3,,,,,
Colorado,CO,1918,13,,,,,
Connecticut,CT,1918,0,,,,,
Illinois,IL,1918,15,,,,,
Indiana,IN,1918,22,,,,,
Kansas,KS,1918,26,,,,,
Kentucky,KY,1918,12,,,,,
Louisiana,LA,1918,18,,,,,
Maine,ME,1918,0,,,,,
Maryland,MD,1918,0,,,,,
Massachusetts,MA,1918,1,,,,,
Michigan,MI,1918,16,,,,,
Minnesota,MN,1918,10,,,,,
Missouri,MO,1918,83,,,,,
Montana,MT,1918,6,,,,,
New Hampshire,NH,1918,0,,,,,
New Jersey,NJ,1918,1,,,,,
New York,NY,1918,2,,,,,
North Carolina,NC,1918,3,,,,,
Ohio,OH,1918,22,,,,,
Oregon,OR,1918,0,,,,,
Pennsylvania,PA,1918,2,,,,,
Rhode Island,RI,1918,1,,,,,
South Carolina,SC,1918,2,,,,,
Tennessee,TN,1918,16,,,,,
Utah,UT,1918,10,,,,,
Vermont,VT,1918,0,,,,,
Virginia,VA,1918,4,,,,,
Washington,WA,1918,4,,,,,
Wisconsin,WI,1918,12,,,,,
California,CA,1919,6,,,,,
Colorado,CO,1919,5,,,,,
Connecticut,CT,1919,0,,,,,
Delaware,DE,1919,0,,,,,
Florida,FL,1919,0,,,,,
Illinois,IL,1919,5,,,,,
Indiana,IN,1919,14,,,,,
Kansas,KS,1919,1,,,,,
Kentucky,KY,1919,17,,,,,
Louisiana,LA,1919,175,,,,,
Maine,ME,1919,2,,,,,
Maryland,MD,1919,0,,,,,
Massachusetts,MA,1919,2,,,,,
Michigan,MI,1919,10,,,,,
Minnesota,MN,1919,9,,,,,
Mississippi,MS,1919,8,,,,,
Missouri,MO,1919,17,,,,,
Montana,MT,1919,9,,,,,
New Hampshire,NH,1919,0,,,,,
New Jersey,NJ,1919,0,,,,,
New York,NY,1919,0,,,,,
North Carolina,NC,1919,9,,,,,
Ohio,OH,1919,10,,,,,
Oregon,OR,1919,2,,,,,
Pennsylvania,PA,1919,1,,,,,
Rhode Island,RI,1919,0,,,,,
South Carolina,SC,1919,4,,,,,
Tennessee,TN,1919,15,,,,,
Utah,UT,1919,4,,,,,
Vermont,VT,1919,0,,,,,
Virginia,VA,1919,9,,,,,
Washington,WA,1919,8,,,,,
Wisconsin,WI,1919,5,,,,,
California,CA,1920,9,,,,,
Colorado,CO,1920,10,,,,,
Connecticut,CT,1920,0,,,,,
Delaware,DE,1920,2,,,,,
Florida,FL,1920,2,,,,,
Illinois,IL,1920,15,,,,,
Indiana,IN,1920,17,,,,,
Kansas,KS,1920,4,,,,,
Kentucky,KY,1920,21,,,,,
Louisiana,LA,1920,167,,,,,
Maine,ME,1920,0,,,,,
Maryland,MD,1920,0,,,,,
Massachusetts,MA,1920,2,,,,,
Michigan,MI,1920,11,,,,,
Minnesota,MN,1920,17,,,,,
Mississippi,MS,1920,45,,,,,
Missouri,MO,1920,28,,,,,
Montana,MT,1920,2,,,,,
Nebraska,NE,1920,22,,,,,
New Hampshire,NH,1920,0,,,,,
New Jersey,NJ,1920,0,,,,,
New York,NY,1920,1,,,,,
North Carolina,NC,1920,28,,,,,
Ohio,OH,1920,17,,,,,
Oregon,OR,1920,10,,,,,
Pennsylvania,PA,1920,1,,,,,
Rhode Island,RI,1920,0,,,,,
South Carolina,SC,1920,2,,,,,
Tennessee,TN,1920,12,,,,,
Utah,UT,1920,13,,,,,
Vermont,VT,1920,0,,,,,
Virginia,VA,1920,12,,,,,
Washington,WA,1920,18,,,,,
Wisconsin,WI,1920,10,,,,,
California,CA,1921,21,,,,,
Colorado,CO,1921,45,,,,,
Connecticut,CT,1921,0,,,,,
Delaware,DE,1921,0,,,,,
Florida,FL,1921,15,,,,,
Illinois,IL,1921,25,,,,,
Indiana,IN,1921,21,,,,,
Kansas,KS,1921,49,,,,,
Kentucky,KY,1921,18,,,,,
Louisiana,LA,1921,58,,,,,
Maine,ME,1921,0,,,,,
Maryland,MD,1921,0,,,,,
Massachusetts,MA,1921,0,,,,,
Michigan,MI,1921,12,,,,,
Minnesota,MN,1921,26,,,,,
Mississippi,MS,1921,9,,,,,
Missouri,MO,1921,192,,,,,
Montana,MT,1921,3,,,,,
Nebraska,NE,1921,9,,,,,
New Hampshire,NH,1921,0,,,,,
New Jersey,NJ,1921,0,,,,,
New York,NY,1921,2,,,,,
North Carolina,NC,1921,20,,,,,
Ohio,OH,1921,15,,,,,
Oregon,OR,1921,6,,,,,
Pennsylvania,PA,1921,1,,,,,
Rhode Island,RI,1921,0,,,,,
South Carolina,SC,1921,11,,,,,
Tennessee,TN,1921,11,,,,,
Utah,UT,1921,10,,,,,
Vermont,VT,1921,1,,,,,
Virginia,VA,1921,9,,,,,
Washington,WA,1921,9,,,,,
Wisconsin,WI,1921,21,,,,,
California,CA,1922,22,,,,,
Colorado,CO,1922,271,,,,,
Connecticut,CT,1922,6,,,,,
Delaware,DE,1922,0,,,,,
Florida,FL,1922,5,,,,,
Georgia,GA,1922,20,,,,,
Idaho,ID,1922,1,,,,,
Illinois,IL,1922,24,,,,,
Indiana,IN,1922,6,,,,,
Kansas,KS,1922,70,,,,,
Kentucky,KY,1922,1,,,,,
Louisiana,LA,1922,3,,,,,
Maine,ME,1922,0,,,,,
Maryland,MD,1922,3,,,,,
Massachusetts,MA,1922,0,,,,,
Michigan,MI,1922,21,,,,,
Minnesota,MN,1922,9,,,,,
Mississippi,MS,1922,5,,,,,
Missouri,MO,1922,83,,,,,
Montana,MT,1922,2,,,,,
Nebraska,NE,1922,7,,,,,
New Hampshire,NH,1922,0,,,,,
New Jersey,NJ,1922,0,,,,,
New York,NY,1922,2,,,,,
North Carolina,NC,1922,8,,,,,
Ohio,OH,1922,5,,,,,
Oregon,OR,1922,5,,,,,
Pennsylvania,PA,1922,6,,,,,
Rhode Island,RI,1922,0,,,,,
South Carolina,SC,1922,7,,,,,
Tennessee,TN,1922,1,,,,,
Utah,UT,1922,6,,,,,
Vermont,VT,1922,0,,,,,
Virginia,VA,1922,0,,,,,
Washington,WA,1922,2,,,,,
Wisconsin,WI,1922,3,,,,,
Wyoming,WY,1922,3,,,,,
California,CA,1923,1,,,,,
Colorado,CO,1923,16,,,,,
Connecticut,CT,1923,0,,,,,
Delaware,DE,1923,1,,,,,
Florida,FL,1923,0,,,,,
Georgia,GA,1923,3,,,,,
Idaho,ID,1923,2,,,,,
Illinois,IL,1923,2,,,,,
Indiana,IN,1923,4,,,,,
Iowa,IA,1923,6,,,,,
Kansas,KS,1923,0,,,,,
Kentucky,KY,1923,1,,,,,
Louisiana,LA,1923,4,,,,,
Maine,ME,1923,3,,,,,
Maryland,MD,1923,0,,,,,
Massachusetts,MA,1923,0,,,,,
Michigan,MI,1923,14,,,,,
Minnesota,MN,1923,2,,,,,
Mississippi,MS,1923,2,,,,,
Missouri,MO,1923,4,,,,,
Montana,MT,1923,3,,,,,
Nebraska,NE,1923,2,,,,,
New Hampshire,NH,1923,0,,,,,
New Jersey,NJ,1923,0,,,,,
New York,NY,1923,1,,,,,
North Carolina,NC,1923,13,,,,,
Ohio,OH,1923,6,,,,,
Oregon,OR,1923,0,,,,,
Pennsylvania,PA,1923,0,,,,,
Rhode Island,RI,1923,0,,,,,
South Carolina,SC,1923,2,,,,,
Tennessee,TN,1923,4,,,,,
Utah,UT,1923,14,,,,,
Vermont,VT,1923,2,,,,,
Virginia,VA,1923,1,,,,,
Washington,WA,1923,8,,,,,
Wisconsin,WI,1923,2,,,,,
Wyoming,WY,1923,2,,,,,
California,CA,1924,57,,,,,
Colorado,CO,1924,0,,,,,
Connecticut,CT,1924,5,,,,,
Delaware,DE,1924,0,,,,,
Florida,FL,1924,0,,,,,
Georgia,GA,1924,24,,,,,
Idaho,ID,1924,1,,,,,
Illinois,IL,1924,16,,,,,
Indiana,IN,1924,9,,,,,
Iowa,IA,1924,12,,,,,
Kansas,KS,1924,2,,,,,
Kentucky,KY,1924,6,,,,,
Louisiana,LA,1924,2,,,,,
Maine,ME,1924,0,,,,,
Maryland,MD,1924,0,,,,,
Massachusetts,MA,1924,2,,,,,
Michigan,MI,1924,226,,,,,
Minnesota,MN,1924,305,,,,,
Mississippi,MS,1924,6,,,,,
Missouri,MO,1924,2,,,,,
Montana,MT,1924,3,,,,,
Nebraska,NE,1924,1,,,,,
New Hampshire,NH,1924,1,,,,,
New Jersey,NJ,1924,14,,,,,
New York,NY,1924,5,,,,,
North Carolina,NC,1924,29,,,,,
North Dakota,ND,1924,3,,,,,
Ohio,OH,1924,63,,,,,
Oregon,OR,1924,3,,,,,
Pennsylvania,PA,1924,39,,,,,
Rhode Island,RI,1924,0,,,,,
South Carolina,SC,1924,12,,,,,
Tennessee,TN,1924,8,,,,,
Utah,UT,1924,0,,,,,
Vermont,VT,1924,0,,,,,
Virginia,VA,1924,2,,,,,
Washington,WA,1924,2,,,,,
Wisconsin,WI,1924,11,,,,,
Wyoming,WY,1924,0,,,,,
California,CA,1925,59,,,,,
Colorado,CO,1925,0,,,,,
Connecticut,CT,1925,1,,,,,
Delaware,DE,1925,0,,,,,
Florida,FL,1925,0,,,,,
Idaho,ID,1925,1,,,,,
Illinois,IL,1925,23,,,,,
Indiana,IN,1925,6,,,,,
Iowa,IA,1925,42,,,,,
Kansas,KS,1925,1,,,,,
Kentucky,KY,1925,4,,,,,
Louisiana,LA,1925,8,,,,,
Maine,ME,1925,0,,,,,
Maryland,MD,1925,0,,,,,
Massachusetts,MA,1925,0,,,,,
Michigan,MI,1925,22,,,,,
Minnesota,MN,1925,196,,,,,
Mississippi,MS,1925,4,,,,,
Missouri,MO,1925,0,,,,,
Montana,MT,1925,0,,,,,
Nebraska,NE,1925,1,,,,,
New Hampshire,NH,1925,0,,,,,
New Jersey,NJ,1925,48,,,,,
New York,NY,1925,2,,,,,
North Carolina,NC,1925,5,,,,,
North Dakota,ND,1925,8,,,,,
Ohio,OH,1925,47,,,,,
Oregon,OR,1925,3,,,,,
Pennsylvania,PA,1925,29,,,,,
Rhode Island,RI,1925,0,,,,,
South Carolina,SC,1925,7,,,,,
Tennessee,TN,1925,5,,,,,
Utah,UT,1925,0,,,,,
Vermont,VT,1925,0,,,,,
Virginia,VA,1925,3,,,,,
Washington,WA,1925,4,,,,,
West Virginia,WV,1925,2,,,,,
Wisconsin,WI,1925,134,,,,,
Wyoming,WY,1925,1,,,,,
Alabama,AL,1926,5,,,,,
Arizona,AZ,1926,6,,,,,
California,CA,1926,235,,,,,
Colorado,CO,1926,1,,,,,
Connecticut,CT,1926,0,,,,,
Delaware,DE,1926,0,,,,,
Florida,FL,1926,7,,,,,
Idaho,ID,1926,1,,,,,
Illinois,IL,1926,8,,,,,
Indiana,IN,1926,8,,,,,
Iowa,IA,1926,2,,,,,
Kansas,KS,1926,2,,,,,
Kentucky,KY,1926,5,,,,,
Louisiana,LA,1926,10,,,,,
Maine,ME,1926,0,,,,,
Maryland,MD,1926,0,,,,,
Massachusetts,MA,1926,0,,,,,
Michigan,MI,1926,3,,,,,
Minnesota,MN,1926,0,,,,,
Mississippi,MS,1926,4,,,,,
Missouri,MO,1926,1,,,,,
Montana,MT,1926,1,,,,,
Nebraska,NE,1926,8,,,,,
New Hampshire,NH,1926,0,,,,,
New Jersey,NJ,1926,0,,,,,
New York,NY,1926,1,,,,,
North Carolina,NC,1926,14,,,,,
North Dakota,ND,1926,0,,,,,
Ohio,OH,1926,0,,,,,
Oregon,OR,1926,7,,,,,
Pennsylvania,PA,1926,0,,,,,
Rhode Island,RI,1926,0,,,,,
South Carolina,SC,1926,4,,,,,
Tennessee,TN,1926,4,,,,,
Utah,UT,1926,3,,,,,
Vermont,VT,1926,0,,,,,
Virginia,VA,1926,1,,,,,
Washington,WA,1926,31,,,,,
West Virginia,WV,1926,3,,,,,
Wisconsin,WI,1926,1,,,,,
Wyoming,WY,1926,0,,,,,
Alabama,AL,1927,6,,,,,
Arizona,AZ,1927,0,,,,,
Arkansas,AR,1927,1,,,,,
California,CA,1927,5,,,,,
Colorado,CO,1927,3,,,,,
Connecticut,CT,1927,0,,,,,
Delaware,DE,1927,0,,,,,
Florida,FL,1927,11,,,,,
Idaho,ID,1927,0,,,,,
Illinois,IL,1927,3,,,,,
Indiana,IN,1927,16,,,,,
Iowa,IA,1927,2,,,,,
Kansas,KS,1927,1,,,,,
Kentucky,KY,1927,8,,,,,
Louisiana,LA,1927,5,,,,,
Maine,ME,1927,0,,,,,
Maryland,MD,1927,0,,,,,
Massachusetts,MA,1927,0,,,,,
Michigan,MI,1927,0,,,,,
Minnesota,MN,1927,0,,,,,
Mississippi,MS,1927,4,,,,,
Missouri,MO,1927,11,,,,,
Montana,MT,1927,1,,,,,
Nebraska,NE,1927,1,,,,,
New Hampshire,NH,1927,0,,,,,
New Jersey,NJ,1927,0,,,,,
New York,NY,1927,1,,,,,
North Carolina,NC,1927,15,,,,,
North Dakota,ND,1927,0,,,,,
Ohio,OH,1927,10,,,,,
Oregon,OR,1927,5,,,,,
Pennsylvania,PA,1927,0,,,,,
Rhode Island,RI,1927,0,,,,,
South Carolina,SC,1927,6,,,,,
Tennessee,TN,1927,3,,,,,
Utah,UT,1927,2,,,,,
Vermont,VT,1927,0,,,,,
Virginia,VA,1927,5,,,,,
Washington,WA,1927,7,,,,,
West Virginia,WV,1927,2,,,,,
Wisconsin,WI,1927,4,,,,,
Wyoming,WY,1927,0,,,,,
Alabama,AL,1928,3,,,,,
Arizona,AZ,1928,7,,,,,
Arkansas,AR,1928,0,,,,,
California,CA,1928,2,,,,,
Colorado,CO,1928,1,,,,,
Connecticut,CT,1928,0,,,,,
Delaware,DE,1928,0,,,,,
Florida,FL,1928,1,,,,,
Georgia,GA,1928,4,,,,,
Idaho,ID,1928,1,,,,,
Illinois,IL,1928,5,,,,,
Indiana,IN,1928,13,,,,,
Iowa,IA,1928,4,,,,,
Kansas,KS,1928,4,,,,,
Kentucky,KY,1928,6,,,,,
Louisiana,LA,1928,3,,,,,
Maine,ME,1928,0,,,,,
Maryland,MD,1928,1,,,,,
Massachusetts,MA,1928,0,,,,,
Michigan,MI,1928,2,,,,,
Minnesota,MN,1928,0,,,,,
Mississippi,MS,1928,1,,,,,
Missouri,MO,1928,7,,,,,
Montana,MT,1928,4,,,,,
Nebraska,NE,1928,0,,,,,
New Hampshire,NH,1928,0,,,,,
New Jersey,NJ,1928,0,,,,,
New York,NY,1928,2,,,,,
North Carolina,NC,1928,17,,,,,
North Dakota,ND,1928,0,,,,,
Ohio,OH,1928,4,,,,,
Oklahoma,OK,1928,14,,,,,
Oregon,OR,1928,5,,,,,
Pennsylvania,PA,1928,0,,,,,
Rhode Island,RI,1928,0,,,,,
South Carolina,SC,1928,3,,,,,
Tennessee,TN,1928,5,,,,,
Utah,UT,1928,2,,,,,
Vermont,VT,1928,0,,,,,
Virginia,VA,1928,2,,,,,
Washington,WA,1928,0,,,,,
West Virginia,WV,1928,4,,,,,
Wisconsin,WI,1928,2,,,,,
Wyoming,WY,1928,0,,,,,
Alabama,AL,1929,0,,,,,
Arizona,AZ,1929,2,,,,,
Arkansas,AR,1929,0,,,,,
California,CA,1929,10,,,,,
Colorado,CO,1929,5,,,,,
Connecticut,CT,1929,0,,,,,
Delaware,DE,1929,0,,,,,
Florida,FL,1929,0,,,,,
Georgia,GA,1929,2,,,,,
Idaho,ID,1929,4,,,,,
Illinois,IL,1929,19,,,,,
Indiana,IN,1929,14,,,,,
Iowa,IA,1929,5,,,,,
Kansas,KS,1929,3,,,,,
Kentucky,KY,1929,10,,,,,
Louisiana,LA,1929,0,,,,,
